book_id,title,fantasy,classic,non_fiction,young_adult,fiction,adult,mystery,romance,children,author,year,rating,image_url
1,Harry Potter and the Half-Blood Prince ,1,0,0,0,1,0,0,0,1,J.K. Rowling,2005,4.54,https://images.gr-assets.com/books/1361039191m/1.jpg
2,Harry Potter and the Order of the Phoenix,1,0,0,0,1,0,0,0,1,J.K. Rowling,2003,4.46,https://images.gr-assets.com/books/1387141547m/2.jpg
3,Harry Potter and the Sorcerer's Stone,1,0,0,0,1,0,0,0,1,J.K. Rowling,1997,4.44,https://images.gr-assets.com/books/1474154022m/3.jpg
5,Harry Potter and the Prisoner of Azkaban,1,0,0,0,1,0,0,0,1,J.K. Rowling,1999,4.53,https://images.gr-assets.com/books/1499277281m/5.jpg
6,Harry Potter and the Goblet of Fire,1,0,0,0,1,0,0,0,1,J.K. Rowling,2000,4.53,https://images.gr-assets.com/books/1361482611m/6.jpg
8,"Harry Potter Boxed Set, Books 1-5",1,0,0,0,1,0,0,0,1,J.K. Rowling,2003,4.77,https://images.gr-assets.com/books/1328867351m/10.jpg
10,Harry Potter Collection,1,0,0,0,1,0,0,0,1,J.K. Rowling,2005,4.73,https://images.gr-assets.com/books/1328867351m/10.jpg
11,The Hitchhiker's Guide to the Galaxy,1,1,0,1,1,0,0,0,1,Douglas Adams,1979,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg
13,The Ultimate Hitchhiker's Guide to the Galaxy,1,1,0,1,1,0,0,0,1,Douglas Adams,1996,4.37,https://images.gr-assets.com/books/1404613595m/13.jpg
21,A Short History of Nearly Everything,0,0,1,0,0,1,0,0,0,Bill Bryson,2003,4.19,https://images-na.ssl-images-amazon.com/images/I/61vvvyR+TOL.jpg
24,In a Sunburned Country,0,0,1,0,0,1,0,0,0,Bill Bryson,2000,4.05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176242l/24.jpg
25,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,0,0,1,0,0,1,0,0,0,Bill Bryson,1998,3.89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184037l/25.jpg
